,age,bmi,children,charges,sex_female,sex_male,smoker_no,smoker_yes,region_northeast,region_northwest,region_southeast,region_southwest
265,0.49008397147610033,1.879568394976052,3,2.7520576157724386,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
266,0.06404506445426292,-1.7656112970015572,1,0.3325341432690344,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
267,1.4131682700234147,0.2703549212005712,3,0.11632656546062126,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
269,0.703103424987019,-0.7892527453587742,1,-0.3269763905590874,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
271,0.7741099094906586,0.5621309453256081,2,2.4769398168208245,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
272,0.13505154895790247,1.0228299307861919,2,-0.4954048353363764,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
273,0.7741099094906586,-0.5281899869311099,1,-0.29898414009133667,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
274,-1.0010522031003306,-0.5128333540824233,0,-0.8914709456808764,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
275,0.5610904559797399,-0.6663996825692847,2,-0.2907848937354835,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
276,-1.427091110122168,-1.6338675520365131,2,-0.8680430069768419,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
277,-1.2140716566112493,-1.038191846274318,0,-0.9225965145189742,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
278,1.4131682700234147,0.17255741726946397,2,-0.022459792183639405,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
279,0.8451163939942982,-1.481109467383793,1,-0.27915224786115234,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
280,0.06404506445426292,-0.42069355699030625,1,0.76280006746115,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
281,1.058135847505217,1.5910253461875798,3,2.952327779578606,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
282,-0.6460197805821327,-0.49747672123373726,1,-0.7483321837384643,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
283,1.1291423320088565,0.2703549212005712,1,-0.11012296015157821,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
284,0.9161228784979377,0.07718464484078154,0,-0.29829452217840374,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
285,0.49008397147610033,-0.6631667072327193,1,-0.4556183359592028,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
286,0.49008397147610033,2.8041993412337867,2,-0.3144122086860366,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
287,1.697194208037973,-0.7278262139640298,0,0.08839633220889026,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
288,1.4131682700234147,0.9767600322401341,1,2.89784457797952,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
289,0.9161228784979377,-0.6987294359349403,3,1.0685646716967152,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
290,-0.7880327495894119,0.4328119318629872,0,-0.8372832570347745,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
291,-0.7170262650857724,-0.1749874314113278,1,0.5912831895450275,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
292,-1.0010522031003306,2.39522796115825,2,2.414755373123505,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
293,-1.2140716566112493,-0.3075394202105136,0,-0.9220718151319435,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
294,-1.0010522031003306,-0.6340699292036298,3,-0.7759751551831078,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
296,-1.427091110122168,-0.48858603905818215,0,0.25890218669559617,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
297,0.5610904559797399,-0.8587617150949326,1,0.7333289535916503,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
301,0.9871293630015773,-1.3113782622141037,3,0.9750765045613763,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
304,1.2711553010161356,1.1763962592730541,2,-0.04605941401699327,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
305,-0.7170262650857724,0.4239212496874321,2,0.5215113987926143,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
306,-0.7880327495894119,-0.5209157924238371,2,0.5829204377137638,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
307,-0.6460197805821327,0.4214965181850079,1,-0.7555225270757745,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
309,0.13505154895790247,0.3778513511413742,2,-0.45502984886735687,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
311,-1.427091110122168,-0.9735323395430082,0,-0.9570954073512518,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
313,0.703103424987019,0.8304678982605447,0,-0.42369119502161784,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
314,-0.8590392340930515,0.1095143982064365,0,1.8073305151188988,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
315,0.9161228784979377,0.4085646168387461,0,-0.29020626960244705,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
316,0.7741099094906586,0.2396416555031981,0,-0.364324989499925,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
318,0.34807100246882117,-0.49747672123373726,0,-0.4824191309811316,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
321,-0.930045718596691,-0.1749874314113278,4,0.9582300063626658,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
323,1.2711553010161356,1.652451877582325,0,-0.136246313546725,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
324,-0.7170262650857724,-0.5694104224723199,0,-0.8628323290052514,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
325,0.06404506445426292,0.5467743124769211,1,-0.5509828629444466,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
327,0.4190774869724608,0.930690133694075,2,2.4688944651927125,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
328,1.7682006925416125,0.4974714385942971,1,2.900453430800979,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
329,0.9161228784979377,0.9662528623962966,0,-0.3384942219052958,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
330,1.5551812390306938,0.915333500845389,1,2.949687479702619,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
331,0.9161228784979377,-0.5435466197797958,0,0.9350098002782108,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
332,1.5551812390306938,0.07071869416765067,0,0.019317421411502098,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
334,0.2770645179651816,0.807837070904586,2,0.49664296451524975,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
335,1.7682006925416125,0.6106255753740903,0,0.052202380084786726,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
336,1.4841747545270543,-0.805417622041602,0,-0.08811924606181484,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
337,1.6261877235343334,-0.5128333540824233,1,0.06179504705527597,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
338,0.7741099094906586,0.2549982883518841,1,2.398625669005604,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
339,0.49008397147610033,-0.48535306372161674,1,-0.4146524822600979,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
340,-1.0720586876039702,-0.5047509157410094,0,0.48082912979580106,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
341,1.6261877235343334,-0.11356090001658332,0,0.012892250761340974,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
343,1.697194208037973,0.9767600322401341,0,0.06548500042187254,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
344,0.703103424987019,1.7373174801671694,4,-0.1854437083194784,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
345,-0.3619938425675745,-0.23641396280607227,3,-0.5857167255291246,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
346,-0.43300032707121405,0.8126865339094345,2,-0.6938083986945565,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
347,0.49008397147610033,0.4239212496874321,1,-0.40614922961585936,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
348,-0.21998087356029536,-0.12972577669941052,1,-0.6446992736450351,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
349,-1.427091110122168,-0.4667634555363648,0,-0.9655839281924931,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
350,1.2711553010161356,-1.2192384651219867,0,-0.11417310777173405,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
351,0.7741099094906586,-0.8280484493975601,0,-0.35623927991377136,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
352,-0.6460197805821327,-0.48858603905818215,0,-0.8053656032446981,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
353,-0.43300032707121405,0.731053906661155,0,-0.06621358114047064,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
354,-1.4980975946258075,1.2216579139849713,0,0.07811120786230524,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
355,0.49008397147610033,-0.5047509157410094,0,0.9524997216647407,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
356,0.49008397147610033,2.128507495891596,3,-0.3552345191709013,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
357,0.5610904559797399,-0.14427416571395585,3,-0.2987613048682761,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
358,-1.1430651721076097,1.80844293757161,0,-0.9487519037396868,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
359,-1.4980975946258075,-1.6055790178415648,0,-0.9679409790909503,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
360,0.6320969404833795,0.2549982883518841,2,-0.26344186564149413,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
361,-0.29098735806393494,-0.03596949193901108,1,-0.7054109045025511,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
365,0.703103424987019,0.009292162772906197,1,-0.28556477454887685,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
366,1.200148816512496,0.2549982883518841,3,0.019420109761647285,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
367,0.20605803346154206,-0.9274624409969497,2,-0.4326561527274848,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
368,0.34807100246882117,0.20892838980582618,2,-0.4243709583271034,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
369,-1.4980975946258075,-0.05213436862183885,3,-0.8114065611234875,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
370,1.5551812390306938,-1.5570843877930822,0,0.018148456184201533,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
371,1.2711553010161356,-1.372804793608848,0,-0.0975806630232863,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
372,0.20605803346154206,0.39320798399006013,1,-0.4641945461040002,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
373,-0.930045718596691,0.35198754844884955,2,1.9114173843854754,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
374,-1.3560846256185284,0.4214965181850079,0,-0.9859783681833951,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
375,-1.1430651721076097,-0.3899802912929343,0,0.40389201555222254,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
376,-0.006961420049376656,-0.9428190738456357,3,0.7067092536842896,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
377,-1.0720586876039702,1.5239411079538459,0,2.0818709843986247,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
378,1.7682006925416125,-0.09820426716789735,3,0.27208580163328594,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
379,1.6261877235343334,0.11921332421613338,1,1.152760073455408,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
380,-0.8590392340930515,-2.0638532717997258,2,0.15106383957677552,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
382,1.1291423320088565,0.3681524251316773,0,0.6333474486469745,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
383,-0.29098735806393494,2.039600674136045,2,-0.6138927017905499,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
384,0.34807100246882117,-1.3881614264575342,2,-0.40881514311984674,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
385,-1.427091110122168,0.5944606986912625,0,-0.9968075545503721,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
386,1.3421617855197752,1.3461274644427428,0,-0.11201809720435106,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
387,0.7741099094906586,-0.8660359096022052,2,1.4269902654088396,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
388,-0.930045718596691,-1.3113782622141037,0,-0.8368825670256967,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
389,-1.0720586876039702,-0.0828476343192108,3,-0.7165173895014592,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
391,-1.427091110122168,1.084256462180937,0,-0.9236319414640021,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
392,0.6320969404833795,0.11678859271370917,1,-0.35356880239031796,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
393,0.703103424987019,0.1014319598650232,1,-0.32633676807622497,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
394,0.49008397147610033,0.2549982883518841,2,-0.31624285234388466,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
395,0.49008397147610033,-1.7567206148260022,0,-0.4736074500021995,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
396,0.2770645179651816,0.5944606986912625,3,-0.3904866297152768,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
397,-1.2850781411148888,0.048087866811692026,0,0.283008536619569,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
398,1.7682006925416125,-0.8280484493975601,2,0.14954828028932918,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
399,-1.4980975946258075,1.203876549633861,0,-0.9659234402974566,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
400,0.8451163939942982,-1.6362922835389369,0,-0.3284532120527677,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
401,0.5610904559797399,2.715292519478236,1,-0.4270725446749138,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
403,0.703103424987019,0.2549982883518841,3,-0.24455016559699483,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
404,-0.5750132960784932,-1.6686220369045923,0,-0.82991894229489,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
405,0.9161228784979377,1.237822790667799,2,-0.15039355041687372,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
407,0.5610904559797399,-1.1513459830541108,1,-0.3890111110341065,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
409,-0.5040068115748536,-0.11194441234830031,1,-0.7619175827136857,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
410,-1.427091110122168,-2.140636436043156,0,-0.9667859773413209,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
411,0.34807100246882117,-1.6952940834312575,1,0.5342435641415106,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
412,-0.930045718596691,-2.1867063345892146,2,0.10505322859545171,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
413,-1.0010522031003306,-1.1028513530056285,5,-0.6779327513674629,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
414,-1.427091110122168,0.7156972738124691,0,-0.923896612836221,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
415,0.2770645179651816,0.7949051695583244,1,-0.4887217328633269,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
417,-0.21998087356029536,-1.3129947498823862,2,0.4518533961859039,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
418,1.7682006925416125,1.363908828793853,1,0.10193285483658199,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
419,1.697194208037973,-0.6049731511745402,0,1.3155685834246393,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
421,1.5551812390306938,0.8304678982605447,0,2.7894703740537112,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
422,0.06404506445426292,0.3317814525953151,1,2.1653082545036755,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
423,-1.0010522031003306,-0.021421102924466327,0,-0.8744153260310454,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
424,0.6320969404833795,-0.0844641219874938,2,-0.3532122451550156,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
425,0.4190774869724608,-1.0365753586060358,5,-0.2846863198085765,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
428,-1.2850781411148888,-2.2481328659839592,1,-0.8376642587073634,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
429,-0.8590392340930515,-0.05213436862183885,3,0.4682630212634808,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
430,-1.427091110122168,0.3843173018145051,0,0.8255512454570799,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
432,0.20605803346154206,-0.6179050525208025,0,-0.6036367779820491,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
433,1.4841747545270543,-0.03596949193901108,0,-0.046728525159937424,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
437,-0.29098735806393494,-0.29460751886425185,3,-0.6072175915711673,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
438,0.9161228784979377,2.590822969020463,5,-0.05054179891710159,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
439,-0.930045718596691,-0.20570069710870031,0,-0.8602239897925702,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
440,-0.5750132960784932,0.3164248197466291,1,-0.7064800291942313,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
441,-0.43300032707121405,0.44897680854581495,0,1.9944427026694638,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
444,1.200148816512496,-0.6510430497205988,1,1.078294677654434,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
445,0.4190774869724608,0.3843173018145051,0,-0.4887753987171032,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
446,1.4841747545270543,-0.1749874314113278,0,-0.03897807683536552,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
447,1.200148816512496,-0.8199660110561467,0,-0.14562314373571375,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
448,0.06404506445426292,-0.18145338208445866,0,-0.6085456251951183,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
449,-0.29098735806393494,1.2733855193700194,1,-0.7044706246275626,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
450,-0.006961420049376656,-0.18145338208445866,4,-0.47481334077765935,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
451,-0.6460197805821327,-1.0656721366351252,1,-0.7654429432575074,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
453,-1.3560846256185284,-0.1596307985626418,0,-0.9544099725380204,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
454,-0.5040068115748536,2.555260240318243,2,-0.7108126741693146,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
455,1.4131682700234147,1.0794069991760886,0,0.7181564909654542,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
456,1.1291423320088565,-0.09416304799719012,2,-0.1098836476908114,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
457,1.2711553010161356,-0.0367777357731523,0,-0.11332395378586484,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
458,1.200148816512496,1.4350342861982948,0,-0.21682765160266357,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
460,0.703103424987019,0.9549374487183172,3,-0.23519507817960678,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
462,1.6261877235343334,1.19175289212174,2,0.16974956162290278,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
463,1.200148816512496,-0.7738961125100883,0,-0.16972549669771697,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
464,-1.427091110122168,-0.8967491752995772,0,-0.9658927114600819,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
466,1.4841747545270543,-0.3269372722299068,1,0.002252047370570706,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
468,-0.7880327495894119,-1.0349588709377526,1,0.8427528026567063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
469,-1.4980975946258075,-1.072138087308256,1,-0.9183683784910049,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
470,-0.8590392340930515,0.3148083320783467,0,-0.8936532568514332,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
471,-1.4980975946258075,-0.09820426716789735,0,-0.918170054516129,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
472,-1.427091110122168,-0.14912362871880372,0,-0.9565033792818146,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
473,0.5610904559797399,0.4239212496874321,0,0.641472949133673,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
474,1.058135847505217,-0.9088728328116977,3,1.017577597533054,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
475,1.5551812390306938,-0.3899802912929343,1,1.3087367264873095,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
476,-1.0720586876039702,-0.3592670255955618,0,1.8331074523379156,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
478,-1.2850781411148888,0.9905001774205376,0,-0.9740546439294312,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
480,1.697194208037973,1.71387840897707,3,0.1968801895209549,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
482,-1.4980975946258075,0.1014319598650232,0,-0.9667151327354098,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
484,0.6320969404833795,0.5782958220084348,3,-0.30354677740692315,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
485,-0.5750132960784932,0.05536206131896469,0,-0.7391543038765196,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
488,0.34807100246882117,1.1860951852827508,0,2.9803847873443283,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
490,-1.427091110122168,0.35198754844884955,0,-0.956143519082745,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
491,1.5551812390306938,-0.9121058081482638,0,0.9449870775449145,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
492,-1.4980975946258075,-0.9121058081482638,0,-0.9187545371297792,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
493,1.5551812390306938,2.0492996001457406,0,-0.05208558998461188,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
494,-1.2850781411148888,-0.8118835727147329,4,0.3962202955195195,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
495,-1.3560846256185284,-0.4514068226876788,0,-0.9379167795541548,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
496,-0.5750132960784932,-1.1513459830541108,2,-0.6903302651042215,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
497,0.4190774869724608,-0.3269372722299068,2,-0.43174528217463665,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
498,0.34807100246882117,-1.0899194516593662,2,-0.4164512487682626,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
499,1.6261877235343334,1.370374779466985,0,0.02281034526437029,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
500,-0.7170262650857724,0.5944606986912625,0,1.9208109966368927,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
501,0.2770645179651816,-0.7585394796614017,0,-0.5311765425854518,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
502,0.8451163939942982,-1.2143890021171382,1,0.753325288320089,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
504,-0.07796790455301622,-0.28975805585940345,1,-0.6032474625283468,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
507,-1.2850781411148888,-1.1270986680298698,2,-0.8452105788603003,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
508,-1.0720586876039702,-0.8813925424508913,0,-0.8479566904959114,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
509,1.2711553010161356,-0.3269372722299068,0,-0.1455180418418801,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
510,1.200148816512496,0.22428502265451214,1,-0.11981915478411832,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
513,-1.427091110122168,-0.05213436862183885,0,-0.9972718902911071,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
514,-0.006961420049376656,-0.39159677896121675,1,0.6584575796990261,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
515,1.3421617855197752,0.8046040955680211,0,-0.15324513975761953,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
516,-1.3560846256185284,0.7415610765049937,1,1.2131658122869438,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
518,-0.29098735806393494,0.04485489147512659,1,-0.6645147011645564,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
519,-0.5750132960784932,0.02464879562159217,0,-0.7800145211946073,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
520,0.7741099094906586,-0.5435466197797958,0,1.040483568580648,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
521,-0.5040068115748536,2.1818515889449266,0,-0.7686217139168644,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
522,0.8451163939942982,0.5160610467795491,0,-0.2782191125765631,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
523,-0.07796790455301622,1.1327510922294193,0,-0.6514154475125687,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
524,0.20605803346154206,-0.7520735289882708,1,2.0918380654871647,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
525,-1.4980975946258075,0.51040333994056,0,-0.14323353922723153,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
526,-1.427091110122168,-0.021421102924466327,2,0.9071210766373745,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
527,0.8451163939942982,-0.7957186960319051,1,-0.2786600519759732,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
529,-1.4980975946258075,-0.8506792767535187,0,-0.9595485866048122,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
532,1.4131682700234147,-0.16528850540163148,2,-0.022702407608173464,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
533,-0.1489743890566558,0.8838119913138753,0,0.5024996921780853,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
534,1.7682006925416125,1.5772852010071765,0,0.05289656201718566,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
536,-0.43300032707121405,1.3218801494185015,3,-0.6034150493144859,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
537,0.49008397147610033,-0.0844641219874938,2,-0.3651750704870033,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
538,0.49008397147610033,-0.4320089706682856,1,-0.4146141745614873,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
539,0.9871293630015773,0.1014319598650232,0,1.181577061866373,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
